0Project Name;ackage Name;Type Name;Code Smell
0train-ticket-master;assurance.controller;AssuranceControllerTest;Unutilized0 Abstraction
0train-ticket-master;assurance.entity;AssuranceTypeBean;Unnecessary Abstract0ion
0train-ticket-master;assurance.entity;PlainAssurance;Unutilized Abstraction 0
0train-ticket-master;assurance.init;InitData;Unutilized Abstraction         0
0train-ticket-master;assurance.service;AssuranceServiceImplTest;Unutilized A0bstraction
0train-ticket-master;auth.config;WebSecurityConfig;Unutilized Abstraction   0
0train-ticket-master;auth.constant;AuthConstant;Deficient Encapsulation     0
0train-ticket-master;auth.constant;InfoConstant;Deficient Encapsulation     0
0train-ticket-master;auth.controller;AuthControllerTest;Unutilized Abstracti0on
0train-ticket-master;auth.controller;UserControllerTest;Unutilized Abstracti0on
0train-ticket-master;auth.dto;AuthDto;Unnecessary Abstraction               0
0train-ticket-master;auth.dto;BasicAuthDto;Unnecessary Abstraction          0
0train-ticket-master;auth.dto;TokenDto;Unnecessary Abstraction              0
0train-ticket-master;auth.dto;TokenDto;Unutilized Abstraction               0
0train-ticket-master;auth.exception.handler;GlobalExceptionHandler;Unutilize0d Abstraction
0train-ticket-master;auth.init;InitUser;Unutilized Abstraction              0
0train-ticket-master;auth.security;UserDetailsServiceImpl;Unutilized Abstrac0tion
0train-ticket-master;auth.service;TokenServiceImplTest;Unutilized Abstractio0n
0train-ticket-master;auth.service;UserServiceImplTest;Unutilized Abstraction0
0train-ticket-master;fdse.microservice.config;SecurityConfig;Unutilized Abst0raction
0train-ticket-master;fdse.microservice.config;SecurityConfig;Unutilized Abst0raction
0train-ticket-master;fdse.microservice.controller;BasicControllerTest;Unutil0ized Abstraction
0train-ticket-master;fdse.microservice.controller;StationControllerTest;Unut0ilized Abstraction
0train-ticket-master;fdse.microservice.service;BasicServiceImplTest;Unutiliz0ed Abstraction
0train-ticket-master;fdse.microservice.service;StationServiceImplTest;Unutil0ized Abstraction
0train-ticket-master;cancel.config;SecurityConfig;Unutilized Abstraction    0
0train-ticket-master;cancel.controller;CancelControllerTest;Unutilized Abstr0action
0train-ticket-master;cancel.entity;GetAccountByIdInfo;Unutilized Abstraction0
0train-ticket-master;cancel.entity;GetAccountByIdResult;Unutilized Abstracti0on
0train-ticket-master;cancel.entity;GetOrderByIdInfo;Unutilized Abstraction  0
0train-ticket-master;cancel.service;CancelServiceImplTest;Unutilized Abstrac0tion
0train-ticket-master;edu.fudan.common.entity;AdminTrip;Unutilized Abstractio0n
0train-ticket-master;edu.fudan.common.entity;Assurance;Unutilized Abstractio0n
0train-ticket-master;edu.fudan.common.entity;Config;Unnecessary Abstraction 0
0train-ticket-master;edu.fudan.common.entity;Consign;Unutilized Abstraction 0
0train-ticket-master;edu.fudan.common.entity;Consign;Broken Modularization  0
0train-ticket-master;edu.fudan.common.entity;LeftTicketInfo;Unutilized Abstr0action
0train-ticket-master;edu.fudan.common.entity;PriceConfig;Unutilized Abstract0ion
0train-ticket-master;edu.fudan.common.entity;RoutePlanResultUnit;Unutilized 0Abstraction
0train-ticket-master;edu.fudan.common.entity;RoutePlanResultUnit;Broken Modu0larization
0train-ticket-master;edu.fudan.common.entity;SoldTicket;Unutilized Abstracti0on
0train-ticket-master;edu.fudan.common.entity;TravelInfo;Broken Modularizatio0n
0train-ticket-master;edu.fudan.common.entity;TravelResult;Unutilized Abstrac0tion
0train-ticket-master;edu.fudan.common.entity;TripAllDetail;Unnecessary Abstr0action
0train-ticket-master;edu.fudan.common.entity;User;Unutilized Abstraction    0
0train-ticket-master;edu.fudan.common.entity;User;Broken Modularization     0
0train-ticket-master;rebook.entity;VerifyResult;Unutilized Abstraction      0
0train-ticket-master;edu.fudan.common.exception;BaseException;Unutilized Abs0traction
0train-ticket-master;edu.fudan.common.exception;TokenException;Unutilized Ab0straction
0train-ticket-master;edu.fudan.common.exception;TokenException;Broken Hierar0chy
0train-ticket-master;edu.fudan.common.security.jwt;JWTFilter;Unutilized Abst0raction
0train-ticket-master;edu.fudan.common.util;Response;Unnecessary Abstraction 0
0train-ticket-master;config;SecurityConfig;Unutilized Abstraction           0
0train-ticket-master;config.controller;ConfigControllerTest;Unutilized Abstr0action
0train-ticket-master;config.init;InitData;Unutilized Abstraction            0
0train-ticket-master;config.service;ConfigServiceImplTest;Unutilized Abstrac0tion
0train-ticket-master;consignprice.config;SecurityConfig;Unutilized Abstracti0on
0train-ticket-master;consignprice.controller;ConsignPriceControllerTest;Unut0ilized Abstraction
0train-ticket-master;consignprice.service;ConsignPriceServiceImplTest;Unutil0ized Abstraction
0train-ticket-master;consign.config;SecurityConfig;Unutilized Abstraction   0
0train-ticket-master;consign.controller;ConsignControllerTest;Unutilized Abs0traction
0train-ticket-master;consign.entity;Consign;Broken Modularization           0
0train-ticket-master;consign.entity;ConsignRecord;Broken Modularization     0
0train-ticket-master;consign.entity;GetPriceDomain;Unutilized Abstraction   0
0train-ticket-master;consign.entity;InsertConsignRecordResult;Unutilized Abs0traction
0train-ticket-master;consign.init;InitData;Unutilized Abstraction           0
0train-ticket-master;consign.service;ConsignServiceImplTest;Unutilized Abstr0action
0train-ticket-master;contacts.config;SecurityConfig;Unutilized Abstraction  0
0train-ticket-master;contacts.controller;ContactsControllerTest;Unutilized A0bstraction
0train-ticket-master;contacts.init;InitData;Unutilized Abstraction          0
0train-ticket-master;contacts.service;ContactsServiceImplTest;Unutilized Abs0traction
0train-ticket-master;delivery.config;Queues;Deficient Encapsulation         0
0train-ticket-master;delivery.mq;RabbitReceive;Unutilized Abstraction       0
0train-ticket-master;execute.config;SecurityConfig;Unutilized Abstraction   0
0train-ticket-master;execute.controller;ExecuteControlllerTest;Unutilized Ab0straction
0train-ticket-master;execute.service;ExecuteServiceImplTest;Unutilized Abstr0action
0train-ticket-master;food_delivery.config;SecurityConfig;Unutilized Abstract0ion
0train-ticket-master;food_delivery.controller;FoodDeliveryControllerTest;Unu0tilized Abstraction
0train-ticket-master;food_delivery.entity;DeliveryInfo;Unnecessary Abstracti0on
0train-ticket-master;food_delivery.entity;FoodDeliveryOrder;Broken Modulariz0ation
0train-ticket-master;food_delivery.entity;SeatInfo;Unnecessary Abstraction  0
0train-ticket-master;food_delivery.entity;StationFoodStoreInfo;Unutilized Ab0straction
0train-ticket-master;food_delivery.entity;StationFoodStoreInfo;Broken Modula0rization
0train-ticket-master;food_delivery.entity;TripOrderInfo;Unnecessary Abstract0ion
0train-ticket-master;food_delivery.service;FoodDeliveryServiceImplTest;Unuti0lized Abstraction
0train-ticket-master;foodsearch.config;Queues;Deficient Encapsulation       0
0train-ticket-master;foodsearch.config;SecurityConfig;Unutilized Abstraction0
0train-ticket-master;foodsearch.entity;AllTripFood;Unutilized Abstraction   0
0train-ticket-master;foodsearch.entity;Delivery;Unutilized Abstraction      0
0train-ticket-master;gateway;GatewayConfiguration;Unutilized Abstraction    0
0train-ticket-master;inside_payment.async;ExecutorConfig;Unutilized Abstract0ion
0train-ticket-master;inside_payment.config;SecurityConfig;Unutilized Abstrac0tion
0train-ticket-master;inside_payment.controller;InsidePaymentController;Defic0ient Encapsulation
0train-ticket-master;inside_payment.controller;InsidePaymentControllerTest;U0nutilized Abstraction
0train-ticket-master;inside_payment.entity;Balance;Unutilized Abstraction   0
0train-ticket-master;inside_payment.entity;Money;Unutilized Abstraction     0
0train-ticket-master;inside_payment.entity;Payment;Unutilized Abstraction   0
0train-ticket-master;inside_payment.init;InitData;Unutilized Abstraction    0
0train-ticket-master;inside_payment.service;InsidePaymentServiceImpl;Deficie0nt Encapsulation
0train-ticket-master;inside_payment.service;InsidePaymentServiceImplTest;Unu0tilized Abstraction
0train-ticket-master;notification.config;EmailConfig;Unnecessary Abstraction0
0train-ticket-master;notification.config;EmailConfig;Unutilized Abstraction 0
0train-ticket-master;notification.config;Queues;Deficient Encapsulation     0
0train-ticket-master;notification.config;SecurityConfig;Unutilized Abstracti0on
0train-ticket-master;notification.controller;NotificationControllerTest;Unut0ilized Abstraction
0train-ticket-master;notification.mq;RabbitReceive;Unutilized Abstraction   0
0train-ticket-master;notification.service;NotificationServiceImplTest;Unutil0ized Abstraction
0train-ticket-master;other.config;SecurityConfig;Unutilized Abstraction     0
0train-ticket-master;other.controller;OrderOtherControllerTest;Unutilized Ab0straction
0train-ticket-master;other.init;InitData;Unutilized Abstraction             0
0train-ticket-master;other.service;OrderOtherServiceImpl;Insufficient Modula0rization
0train-ticket-master;other.service;OrderOtherServiceImplTest;Unutilized Abst0raction
0train-ticket-master;other.service;OrderOtherServiceImplTest;Insufficient Mo0dularization
0train-ticket-master;order.config;SecurityConfig;Unutilized Abstraction     0
0train-ticket-master;order.controller;OrderControllerTest;Unutilized Abstrac0tion
0train-ticket-master;order.init;InitData;Imperative Abstraction             0
0train-ticket-master;order.init;InitData;Unutilized Abstraction             0
0train-ticket-master;order.service;OrderServiceImpl;Insufficient Modularizat0ion
0train-ticket-master;order.service;OrderServiceImplTest;Unutilized Abstracti0on
0train-ticket-master;order.service;OrderServiceImplTest;Insufficient Modular0ization
0train-ticket-master;com.trainticket.config;SecurityConfig;Unutilized Abstra0ction
0train-ticket-master;com.trainticket.controller;PaymentControllerTest;Unutil0ized Abstraction
0train-ticket-master;com.trainticket.entity;Money;Unnecessary Abstraction   0
0train-ticket-master;com.trainticket.init;InitData;Unutilized Abstraction   0
0train-ticket-master;com.trainticket.repository;AddMoneyRepository;Unnecessa0ry Abstraction
0train-ticket-master;com.trainticket.service;PaymentServiceImplTest;Unutiliz0ed Abstraction
0train-ticket-master;preserveOther.config;Queues;Deficient Encapsulation    0
0train-ticket-master;preserveOther.config;SecurityConfig;Unutilized Abstract0ion
0train-ticket-master;preserveOther.controller;PreserveOtherControllerTest;Un0utilized Abstraction
0train-ticket-master;preserveOther.service;PreserveOtherServiceImplTest;Unut0ilized Abstraction
0train-ticket-master;preserve.config;Queues;Deficient Encapsulation         0
0train-ticket-master;preserve.config;SecurityConfig;Unutilized Abstraction  0
0train-ticket-master;preserve.controller;PreserveControllerTest;Unutilized A0bstraction
0train-ticket-master;preserve.service;PreserveServiceImplTest;Unutilized Abs0traction
0train-ticket-master;price.config;SecurityConfig;Unutilized Abstraction     0
0train-ticket-master;price.controller;PriceControllerTest;Unutilized Abstrac0tion
0train-ticket-master;price.init;InitData;Imperative Abstraction             0
0train-ticket-master;price.init;InitData;Unutilized Abstraction             0
0train-ticket-master;price.service;PriceServiceImplTest;Unutilized Abstracti0on
0train-ticket-master;rebook.config;SecurityConfig;Unutilized Abstraction    0
0train-ticket-master;rebook.controller;RebookControllerTest;Unutilized Abstr0action
0train-ticket-master;rebook.service;RebookServiceImplTest;Unutilized Abstrac0tion
0train-ticket-master;plan.config;SecurityConfig;Unutilized Abstraction      0
0train-ticket-master;plan.controller;RoutePlanControllerTest;Unutilized Abst0raction
0train-ticket-master;plan.service;RoutePlanServiceImplTest;Unutilized Abstra0ction
0train-ticket-master;route.config;SecurityConfig;Unutilized Abstraction     0
0train-ticket-master;route.controller;RouteControllerTest;Unutilized Abstrac0tion
0train-ticket-master;route.entity;RouteInfo;Unnecessary Abstraction         0
0train-ticket-master;route.entity;RouteInfo;Broken Modularization           0
0train-ticket-master;route.init;InitData;Imperative Abstraction             0
0train-ticket-master;route.init;InitData;Unutilized Abstraction             0
0train-ticket-master;route.service;RouteServiceImplTest;Unutilized Abstracti0on
0train-ticket-master;seat.config;SecurityConfig;Unutilized Abstraction      0
0train-ticket-master;seat.controller;SeatControllerTest;Unutilized Abstracti0on
0train-ticket-master;seat.service;SeatServiceImplTest;Unutilized Abstraction0
0train-ticket-master;security.config;SecurityConfig;Unutilized Abstraction  0
0train-ticket-master;security.controller;SecurityControllerTest;Unutilized A0bstraction
0train-ticket-master;security.init;InitData;Unutilized Abstraction          0
0train-ticket-master;security.service;SecurityServiceImplTest;Unutilized Abs0traction
0train-ticket-master;food.config;SecurityConfig;Unutilized Abstraction      0
0train-ticket-master;food.controller;StationFoodControllerTest;Unutilized Ab0straction
0train-ticket-master;food.service;StationFoodServiceImplTest;Unutilized Abst0raction
0train-ticket-master;fdse.microservice.init;InitData;Imperative Abstraction 0
0train-ticket-master;fdse.microservice.init;InitData;Unutilized Abstraction 0
0train-ticket-master;trainFood.config;SecurityConfig;Unutilized Abstraction 0
0train-ticket-master;trainFood.entity;TrainFood;Unutilized Abstraction      0
0train-ticket-master;train.config;SecurityConfig;Unutilized Abstraction     0
0train-ticket-master;train.controller;TrainControllerTest;Unutilized Abstrac0tion
0train-ticket-master;train.init;InitData;Unutilized Abstraction             0
0train-ticket-master;train.service;TrainServiceImplTest;Unutilized Abstracti0on
0train-ticket-master;travelplan.config;SecurityConfig;Unutilized Abstraction0
0train-ticket-master;travelplan.controller;TravelPlanControllerTest;Unutiliz0ed Abstraction
0train-ticket-master;travelplan.service;TravelPlanServiceImplTest;Unutilized0 Abstraction
0train-ticket-master;travel.config;SecurityConfig;Unutilized Abstraction    0
0train-ticket-master;travel.controller;TravelControllerTest;Unutilized Abstr0action
0train-ticket-master;travel.init;InitData;Unutilized Abstraction            0
0train-ticket-master;travel.service;MyCallable;Unutilized Abstraction       0
0train-ticket-master;travel.service;TravelServiceImplTest;Unutilized Abstrac0tion
0train-ticket-master;travel.service;TravelServiceImplTest;Insufficient Modul0arization
0train-ticket-master;travel2.config;SecurityConfig;Unutilized Abstraction   0
0train-ticket-master;travel2.controller;TravelControllerTest;Unutilized Abst0raction
0train-ticket-master;travel2.entity;TripAllDetail;Unnecessary Abstraction   0
0train-ticket-master;travel2.init;InitData;Unutilized Abstraction           0
0train-ticket-master;travel2.service;TravelServiceImplTest;Unutilized Abstra0ction
0train-ticket-master;travel2.service;TravelServiceImplTest;Insufficient Modu0larization
0train-ticket-master;user.config;SecurityConfig;Unutilized Abstraction      0
0train-ticket-master;user.controller;UserControllerTest;Unutilized Abstracti0on
0train-ticket-master;user.dto;AuthDto;Unnecessary Abstraction               0
0train-ticket-master;user.dto;UserDto;Broken Modularization                 0
0train-ticket-master;user.init;InitUser;Unutilized Abstraction              0
0train-ticket-master;user.service;UserServiceImplTest;Unutilized Abstraction0
0train-ticket-master;verifycode.config;SecurityConfig;Unutilized Abstraction0
0train-ticket-master;verifycode.controller;VerifyCodeControllerTest;Unutiliz0ed Abstraction
0train-ticket-master;verifycode.service.impl;VerifyCodeServiceImpl;Deficient0 Encapsulation
0train-ticket-master;verifycode.service;VerifyCodeServiceImplTest;Unutilized0 Abstraction
0train-ticket-master;verifycode.service;VerifyCodeServiceImplTest;Insufficie0nt Modularization
0train-ticket-master;waitorder.config;SecurityConfig;Unutilized Abstraction 0
0train-ticket-master;waitorder.service.Impl;WaitListOrderServiceImplTest;Unu0tilized Abstraction
0train-ticket-master;waitorder;WaitOrderApplicationTests;Unutilized Abstract0ion
0                                                                           0